Relationship,Entity1,Entity2,Entity1_ID,Entity2_ID,total_relationship_count,unique_relationship_types
sister,Elizabeth,Bennet,Q0001,Q0003,24,9
sister,Lydia,Bennet,Q0008,Q0003,11,7
couple,Bennet,Elizabeth,Q0003,Q0001,24,9
father,Lydia,Jane,Q0008,Q0005,7,6
mother,Lydia,Jane,Q0008,Q0005,7,6
sister,Darcy,Bennet,Q0002,Q0003,6,6
husband,Bennet,Lydia,Q0003,Q0008,11,7
husband,Lydia,Bennet,Q0008,Q0003,11,7
friend,Jane,Elizabeth,Q0005,Q0001,23,8
daughters,Bennet,Jane,Q0003,Q0005,8,5
mother,Kitty,Jane,Q0007,Q0005,2,2
mother,Elizabeth,Kitty,Q0001,Q0007,4,3
daughter,Bennet,Elizabeth,Q0003,Q0001,24,9
wife,Bennet,Jane,Q0003,Q0005,8,5
friend,Elizabeth,Jane,Q0001,Q0005,23,8
daughter,Darcy,Catherine,Q0002,Q0007,1,1
friends,Darcy,Elizabeth,Q0002,Q0001,34,9
daughter,Darcy,Lady Catherine,Q0002,Q0013,3,3
friends,Catherine,Elizabeth,Q0007,Q0001,4,3
sister,Jane,Catherine,Q0005,Q0007,2,2
father,Catherine,Elizabeth,Q0007,Q0001,4,3
son,Darcy,Elizabeth,Q0002,Q0001,34,9
friend,Darcy,Elizabeth,Q0002,Q0001,34,9
son,Bennet,Elizabeth,Q0003,Q0001,24,9
wife,Elizabeth,Darcy,Q0001,Q0002,34,9
brother,Darcy,Collins,Q0002,Q0012,1,1
friend,Lady Catherine,Elizabeth,Q0013,Q0001,5,2
husband,Darcy,Bennet,Q0002,Q0003,6,6
